bbbbbbbbb,d
obbbbbbbb,d
bobbbbbbb,d
bbobbbbbb,d
bbbobbbbb,d
bbbbobbbb,d
bbbbbobbb,d
bbbbbbobb,d
bbbbbbbob,d
bbbbbbbbo,d
xobbbbbbb,d
xbobbbbbb,o
xbbobbbbb,d
xbbbobbbb,d
xbbbbobbb,o
xbbbbbobb,o
xbbbbbbob,o
xbbbbbbbo,o
oxbbbbbbb,o
bxobbbbbb,o
bxbobbbbb,o
bxbbobbbb,o
bxbbbobbb,o
bxbbbbobb,o
bxbbbbbob,d
bxbbbbbbo,o
obxbbbbbb,o
boxbbbbbb,d
bbxobbbbb,o
bbxbobbbb,d
bbxbbobbb,d
bbxbbbobb,o
bbxbbbbob,o
bbxbbbbbo,o
obbxbbbbb,o
bobxbbbbb,o
bboxbbbbb,o
bbbxobbbb,o
bbbxbobbb,d
bbbxbbobb,o
bbbxbbbob,o
bbbxbbbbo,o
obbbxbbbb,d
bobbxbbbb,d
bbobxbbbb,d
bbboxbbbb,d
bbbbxobbb,d
bbbbxbobb,d
bbbbxbbob,d
bbbbxbbbo,d
obbbbxbbb,o
bobbbxbbb,o
bbobbxbbb,o
bbbobxbbb,d
bbbboxbbb,o
bbbbbxobb,o
bbbbbxbob,o
bbbbbxbbo,o
obbbbbxbb,o
bobbbbxbb,o
bbobbbxbb,o
bbbobbxbb,d
bbbbobxbb,d
bbbbboxbb,o
bbbbbbxob,d
bbbbbbxbo,o
obbbbbbxb,o
bobbbbbxb,d
bbobbbbxb,o
bbbobbbxb,o
bbbbobbxb,o
bbbbbobxb,o
bbbbbboxb,o
bbbbbbbxo,o
obbbbbbbx,o
bobbbbbbx,o
bbobbbbbx,o
bbbobbbbx,o
bbbbobbbx,d
bbbbbobbx,d
bbbbbbobx,o
bbbbbbbox,d
xoobbbbbb,x
xobobbbbb,d
xboobbbbb,d
xobbobbbb,d
xbobobbbb,d
xbboobbbb,d
xobbbobbb,x
xbobbobbb,o
xbbobobbb,x
xbbboobbb,d
xobbbbobb,d
xbobbbobb,o
xbbobbobb,x
xbbbobobb,d
xbbbboobb,d
xobbbbbob,x
xbobbbbob,d
xbbobbbob,x
xbbbobbob,d
xbbbbobob,x
xbbbbboob,o
xobbbbbbo,d
xbobbbbbo,o
xbbobbbbo,d
xbbbobbbo,d
xbbbbobbo,x
xbbbbbobo,o
xbbbbbboo,x
oxobbbbbb,d
oxbobbbbb,o
bxoobbbbb,d
oxbbobbbb,o
bxobobbbb,o
bxboobbbb,o
oxbbbobbb,d
bxobbobbb,o
bxbobobbb,x
bxbboobbb,o
oxbbbbobb,o
bxobbbobb,d
bxbobbobb,x
bxbbobobb,o
bxbbboobb,d
oxbbbbbob,d
bxobbbbob,d
bxbobbbob,d
bxbbobbob,d
bxbbbobob,d
bxbbbboob,d
oxbbbbbbo,d
bxobbbbbo,o
bxbobbbbo,d
bxbbobbbo,o
bxbbbobbo,x
bxbbbbobo,o
bxbbbbboo,d
ooxbbbbbb,x
obxobbbbb,o
boxobbbbb,x
obxbobbbb,d
boxbobbbb,d
bbxoobbbb,d
obxbbobbb,d
boxbbobbb,d
bbxobobbb,x
bbxboobbb,d
obxbbbobb,o
boxbbbobb,d
bbxobbobb,x
bbxbobobb,d
bbxbboobb,d
obxbbbbob,d
boxbbbbob,x
bbxobbbob,x
bbxbobbob,d
bbxbbobob,x
bbxbbboob,x
obxbbbbbo,o
boxbbbbbo,d
bbxobbbbo,d
bbxbobbbo,d
bbxbbobbo,x
bbxbbbobo,o
bbxbbbboo,o
oobxbbbbb,o
oboxbbbbb,o
booxbbbbb,x
obbxobbbb,o
bobxobbbb,o
bboxobbbb,o
obbxbobbb,d
bobxbobbb,d
bboxbobbb,d
bbbxoobbb,d
obbxbbobb,d
bobxbbobb,d
bboxbbobb,d
bbbxobobb,o
bbbxboobb,d
obbxbbbob,d
bobxbbbob,x
bboxbbbob,d
bbbxobbob,o
bbbxbobob,d
bbbxbboob,o
obbxbbbbo,d
bobxbbbbo,d
bboxbbbbo,o
bbbxobbbo,o
bbbxbobbo,d
bbbxbbobo,o
bbbxbbboo,x
oobbxbbbb,d
obobxbbbb,d
boobxbbbb,d
obboxbbbb,d
boboxbbbb,d
bbooxbbbb,d
obbbxobbb,d
bobbxobbb,d
bbobxobbb,d
bbboxobbb,x
obbbxbobb,d
bobbxbobb,d
bbobxbobb,d
bbboxbobb,d
bbbbxoobb,d
obbbxbbob,d
bobbxbbob,x
bbobxbbob,d
bbboxbbob,d
bbbbxobob,d
bbbbxboob,d
obbbxbbbo,d
bobbxbbbo,d
bbobxbbbo,d
bbboxbbbo,d
bbbbxobbo,d
bbbbxbobo,d
bbbbxbboo,d
oobbbxbbb,x
obobbxbbb,o
boobbxbbb,o
obbobxbbb,d
bobobxbbb,d
bboobxbbb,d
obbboxbbb,o
bobboxbbb,o
bboboxbbb,o
bbbooxbbb,d
obbbbxobb,o
bobbbxobb,d
bbobbxobb,d
bbbobxobb,d
bbbboxobb,o
obbbbxbob,d
bobbbxbob,x
bbobbxbob,d
bbbobxbob,d
bbbboxbob,o
bbbbbxoob,x
obbbbxbbo,d
bobbbxbbo,d
bbobbxbbo,d
bbbobxbbo,d
bbbboxbbo,o
bbbbbxobo,o
bbbbbxboo,o
oobbbbxbb,o
obobbbxbb,o
boobbbxbb,x
obbobbxbb,x
bobobbxbb,x
bboobbxbb,d
obbbobxbb,d
bobbobxbb,d
bbobobxbb,d
bbboobxbb,d
obbbboxbb,d
bobbboxbb,x
bbobboxbb,x
bbboboxbb,x
bbbbooxbb,d
obbbbbxob,d
bobbbbxob,x
bbobbbxob,d
bbbobbxob,d
bbbbobxob,d
bbbbboxob,x
obbbbbxbo,o
bobbbbxbo,d
bbobbbxbo,o
bbbobbxbo,d
bbbbobxbo,d
bbbbboxbo,o
bbbbbbxoo,x
oobbbbbxb,d
obobbbbxb,o
boobbbbxb,d
obbobbbxb,x
bobobbbxb,d
bboobbbxb,d
obbbobbxb,o
bobbobbxb,d
bbobobbxb,o
bbboobbxb,o
obbbbobxb,d
bobbbobxb,d
bbobbobxb,x
bbbobobxb,x
bbbboobxb,o
obbbbboxb,o
bobbbboxb,d
bbobbboxb,d
bbbobboxb,o
bbbboboxb,o
bbbbbooxb,d
obbbbbbxo,d
bobbbbbxo,d
bbobbbbxo,o
bbbobbbxo,d
bbbbobbxo,o
bbbbbobxo,o
bbbbbboxo,d
oobbbbbbx,x
obobbbbbx,o
boobbbbbx,o
obbobbbbx,x
bobobbbbx,x
bboobbbbx,d
obbbobbbx,d
bobbobbbx,d
bbobobbbx,d
bbboobbbx,d
obbbbobbx,d
bobbbobbx,x
bbobbobbx,x
bbbobobbx,x
bbbboobbx,d
obbbbbobx,o
bobbbbobx,d
bbobbbobx,o
bbbobbobx,o
bbbbobobx,d
bbbbboobx,d
obbbbbbox,d
bobbbbbox,x
bbobbbbox,d
bbbobbbox,x
bbbbobbox,d
bbbbbobox,d
bbbbbboox,x
xxoobbbbb,o
xxobobbbb,o
xxboobbbb,o
xxobbobbb,o
xxbobobbb,o
xxbboobbb,o
xxobbbobb,o
xxbobbobb,x
xxbbobobb,o
xxbbboobb,o
xxobbbbob,o
xxbobbbob,o
xxbbobbob,d
xxbbbobob,o
xxbbbboob,o
xxobbbbbo,o
xxbobbbbo,o
xxbbobbbo,o
xxbbbobbo,o
xxbbbbobo,o
xxbbbbboo,o
xoxobbbbb,o
xoxbobbbb,o
xbxoobbbb,o
xoxbbobbb,o
xbxobobbb,o
xbxboobbb,o
xoxbbbobb,o
xbxobbobb,x
xbxbobobb,d
xbxbboobb,d
xoxbbbbob,o
xbxobbbob,x
xbxbobbob,o
xbxbbobob,x
xbxbbboob,o
xoxbbbbbo,o
xbxobbbbo,d
xbxbobbbo,d
xbxbbobbo,x
xbxbbbobo,o
xbxbbbboo,o
oxxobbbbb,o
oxxbobbbb,o
bxxoobbbb,o
oxxbbobbb,o
bxxobobbb,o
bxxboobbb,o
oxxbbbobb,o
bxxobbobb,o
bxxbobobb,o
bxxbboobb,o
oxxbbbbob,o
bxxobbbob,o
bxxbobbob,d
bxxbbobob,o
bxxbbboob,o
oxxbbbbbo,o
bxxobbbbo,o
bxxbobbbo,o
bxxbbobbo,x
bxxbbbobo,o
bxxbbbboo,o
xooxbbbbb,x
xobxobbbb,o
xboxobbbb,o
xobxbobbb,o
xboxbobbb,o
xbbxoobbb,d
xobxbbobb,o
xboxbbobb,o
xbbxobobb,o
xbbxboobb,o
xobxbbbob,o
xboxbbbob,o
xbbxobbob,o
xbbxbobob,o
xbbxbboob,o
xobxbbbbo,o
xboxbbbbo,o
xbbxobbbo,o
xbbxbobbo,o
xbbxbbobo,o
xbbxbbboo,o
oxoxbbbbb,o
oxbxobbbb,o
bxoxobbbb,o
oxbxbobbb,o
bxoxbobbb,o
bxbxoobbb,o
oxbxbbobb,o
bxoxbbobb,o
bxbxobobb,o
bxbxboobb,o
oxbxbbbob,o
bxoxbbbob,o
bxbxobbob,o
bxbxbobob,o
bxbxbboob,o
oxbxbbbbo,o
bxoxbbbbo,o
bxbxobbbo,o
bxbxbobbo,o
bxbxbbobo,o
bxbxbbboo,o
ooxxbbbbb,o
obxxobbbb,o
boxxobbbb,o
obxxbobbb,d
boxxbobbb,d
bbxxoobbb,d
obxxbbobb,o
boxxbbobb,o
bbxxobobb,o
bbxxboobb,d
obxxbbbob,o
boxxbbbob,o
bbxxobbob,o
bbxxbobob,d
bbxxbboob,o
obxxbbbbo,o
boxxbbbbo,o
bbxxobbbo,o
bbxxbobbo,d
bbxxbbobo,o
bbxxbbboo,o
xoobxbbbb,d
xoboxbbbb,d
xbooxbbbb,d
xobbxobbb,d
xbobxobbb,o
xbboxobbb,x
xobbxbobb,d
xbobxbobb,o
xbboxbobb,d
xbbbxoobb,o
xobbxbbob,x
xbobxbbob,o
xbboxbbob,d
xbbbxobob,o
xbbbxboob,o
xobbxbbbo,d
xbobxbbbo,o
xbboxbbbo,d
xbbbxobbo,o
xbbbxbobo,o
xbbbxbboo,o
oxobxbbbb,d
oxboxbbbb,o
bxooxbbbb,d
oxbbxobbb,d
bxobxobbb,o
bxboxobbb,x
oxbbxbobb,o
bxobxbobb,d
bxboxbobb,o
bxbbxoobb,d
oxbbxbbob,o
bxobxbbob,o
bxboxbbob,o
bxbbxobob,o
bxbbxboob,o
oxbbxbbbo,d
bxobxbbbo,o
bxboxbbbo,d
bxbbxobbo,o
bxbbxbobo,o
bxbbxbboo,o
ooxbxbbbb,d
obxoxbbbb,o
boxoxbbbb,d
obxbxobbb,d
boxbxobbb,d
bbxoxobbb,x
obxbxbobb,o
boxbxbobb,d
bbxoxbobb,o
bbxbxoobb,d
obxbxbbob,o
boxbxbbob,x
bbxoxbbob,o
bbxbxobob,d
bbxbxboob,o
obxbxbbbo,o
boxbxbbbo,d
bbxoxbbbo,o
bbxbxobbo,d
bbxbxbobo,o
bbxbxbboo,o
oobxxbbbb,o
oboxxbbbb,o
booxxbbbb,o
obbxxobbb,o
bobxxobbb,o
bboxxobbb,o
obbxxbobb,d
bobxxbobb,d
bboxxbobb,d
bbbxxoobb,o
obbxxbbob,d
bobxxbbob,x
bboxxbbob,d
bbbxxobob,o
bbbxxboob,o
obbxxbbbo,d
bobxxbbbo,d
bboxxbbbo,o
bbbxxobbo,o
bbbxxbobo,o
bbbxxbboo,o
xoobbxbbb,o
xobobxbbb,d
xboobxbbb,d
xobboxbbb,o
xboboxbbb,o
xbbooxbbb,d
xobbbxobb,o
xbobbxobb,o
xbbobxobb,d
xbbboxobb,o
xobbbxbob,o
xbobbxbob,o
xbbobxbob,d
xbbboxbob,o
xbbbbxoob,o
xobbbxbbo,o
xbobbxbbo,o
xbbobxbbo,d
xbbboxbbo,o
xbbbbxobo,o
xbbbbxboo,o
oxobbxbbb,o
oxbobxbbb,o
bxoobxbbb,o
oxbboxbbb,o
bxoboxbbb,o
bxbooxbbb,o
oxbbbxobb,o
bxobbxobb,o
bxbobxobb,o
bxbboxobb,o
